customer_id,order_date,id,amount,category,price,product_id,product_name,quantity,size
45d3f81a-4c8b-48a4-8f26-d9be28006749,2019-05-27 07:39:24.000+0000,251310a6-8480-4be7-b8f8-80bf71e3c1a8,390,Essential Oil Blends,26,603aa5b1-2f3a-4a2a-b128-aff5d863abab,TerraShield Spray,15,30 mL
45d3f81a-4c8b-48a4-8f26-d9be28006749,2019-05-27 07:39:24.000+0000,3107a532-e805-421a-8639-39bd61aef92b,169.95,Slim & Sassy,11.33,9fc4723c-040b-4f95-8d59-a1b546d9d05c,Metabolic Gum,15,32 Pieces
45d3f81a-4c8b-48a4-8f26-d9be28006749,2019-05-27 07:39:24.000+0000,32f6cdb0-4ce0-4480-a78f-6ad8a7bbd380,447.96,Essential Oil Singles,37.33,adb7d780-2a08-48b0-985c-d40efe39806f,Magnolia Touch,12,10 mL
45d3f81a-4c8b-48a4-8f26-d9be28006749,2019-05-27 07:39:24.000+0000,78c0db3f-4294-487d-8de4-857eb4782b9e,442,Essential Oil Blends,26,5ccb5028-e7f0-4031-98db-5c28b4b2f42b,dōTERRA Serenity Softgels,17,60 Sgls
45d3f81a-4c8b-48a4-8f26-d9be28006749,2019-05-27 07:39:24.000+0000,7d7ce8f5-66d7-40b3-8d97-5816a33db8b7,160,Essential Oil Blends,20,69886031-b63b-49d8-9eef-d3c7a825fbc2,dōTERRA Hope Touch,8,10 mL
45d3f81a-4c8b-48a4-8f26-d9be28006749,2019-05-27 07:39:24.000+0000,88b66dc2-da37-4d5e-aa95-b15c2ed5b943,480,Essential Oil Singles,60,351b24e8-7fec-4000-af92-74c7c4a2ee7e,Roman Chamomile,8,5 mL
45d3f81a-4c8b-48a4-8f26-d9be28006749,2019-05-27 07:39:24.000+0000,9d8167af-6486-4909-b063-3e2634be8a68,620.73,Wellness,32.67,41fa4234-3e17-4772-b1b6-ca2903ddf824,Zendocrine Complex,19,60 Caps
ad267455-200a-41ea-9219-025568626efc,2018-05-11 08:50:37.000+0000,451ca2e6-ebbb-46de-a78e-0f4d6f4bb4e9,559.95,dōTERRA Salon Essentials,37.33,551936f6-5f14-4eed-a40b-24180774d7d8,Shampoo & Conditioner,15,2 Pack
ad267455-200a-41ea-9219-025568626efc,2018-05-11 08:50:37.000+0000,4d58731a-ebf4-4b6d-8020-cf865d501439,225.29,Essential Oil Blends,17.33,c19f2f55-991b-4931-97b5-b91d4683af3f,dōTERRA Forgive Touch,13,10 mL
ad267455-200a-41ea-9219-025568626efc,2018-05-11 08:50:37.000+0000,4e1950b7-a123-4d43-8fc1-5060f5475679,1239.96,dōTERRA Salon Essentials,103.33,d18985e4-8946-44ab-944a-1f86acc22032,Hair Care System,12,4 Pack
